year,age_group,variable,yearly_attri
2010,0-20,flu_a,23.5948486328125
2010,0-20,flu_b,9.06713247299194
2010,0-20,no2,38.3888092041016
2010,0-20,o3,4.29733824729919
2010,0-20,pm10,21.7215151786804
2010,20-40,flu_a,44.5367212295532
2010,20-40,flu_b,46.0635595321655
2010,20-40,no2,62.469663143158
2010,20-40,o3,11.2464160919189
2010,20-40,pm10,75.8811650276184
2010,40-65,flu_a,170.692733764648
2010,40-65,flu_b,147.875022888184
2010,40-65,no2,389.397483825684
2010,40-65,o3,26.2909393310547
2010,40-65,pm10,145.094886779785
2010,65-85,flu_a,627.85009765625
2010,65-85,flu_b,1320.75166320801
2010,65-85,no2,2629.12161254883
2010,65-85,o3,57.9790344238281
2010,65-85,pm10,981.135955810547
2010,85+,flu_a,636.495239257812
2010,85+,flu_b,593.093048095703
2010,85+,no2,592.864807128906
2010,85+,o3,66.6806182861328
2010,85+,pm10,177.124496459961
2010,all,flu_a,1313.66815185547
2010,all,flu_b,627.20947265625
2010,all,no2,271.892944335938
2010,all,o3,315.073486328125
2010,all,pm10,628.560119628906
2011,0-20,flu_a,18.572438955307
2011,0-20,flu_b,6.84635519981384
2011,0-20,no2,35.9158842563629
2011,0-20,o3,3.02663707733154
2011,0-20,pm10,20.0353779792786
2011,20-40,flu_a,44.4178867340088
2011,20-40,flu_b,42.3322601318359
2011,20-40,no2,65.1452589035034
2011,20-40,o3,4.9710054397583
2011,20-40,pm10,77.6491107940674
2011,40-65,flu_a,121.234840393066
2011,40-65,flu_b,187.155715942383
2011,40-65,no2,373.271713256836
2011,40-65,o3,23.3960571289062
2011,40-65,pm10,153.753944396973
2011,65-85,flu_a,414.443542480469
2011,65-85,flu_b,1144.59342956543
2011,65-85,no2,2577.3748626709
2011,65-85,o3,63.8426513671875
2011,65-85,pm10,940.854843139648
2011,85+,flu_a,410.665252685547
2011,85+,flu_b,537.931686401367
2011,85+,no2,694.743515014648
2011,85+,o3,34.7827301025391
2011,85+,pm10,203.427856445312
2011,all,flu_a,1132.22979736328
2011,all,flu_b,448.187255859375
2011,all,no2,301.211730957031
2011,all,o3,296.125549316406
2011,all,pm10,747.575073242188
2012,0-20,flu_a,20.9440920352936
2012,0-20,flu_b,15.3748500347137
2012,0-20,no2,45.7084126472473
2012,0-20,o3,5.59699440002441
2012,0-20,pm10,19.3487830162048
2012,20-40,flu_a,40.3163356781006
2012,20-40,flu_b,24.4504747390747
2012,20-40,no2,67.3762469291687
2012,20-40,o3,16.9202561378479
2012,20-40,pm10,72.9774594306946
2012,40-65,flu_a,173.565689086914
2012,40-65,flu_b,92.9011917114258
2012,40-65,no2,398.206787109375
2012,40-65,o3,22.6189956665039
2012,40-65,pm10,140.688049316406
2012,65-85,flu_a,711.705642700195
2012,65-85,flu_b,745.838928222656
2012,65-85,no2,2832.79298400879
2012,65-85,o3,63.0016784667969
2012,65-85,pm10,858.643951416016
2012,85+,flu_a,729.314636230469
2012,85+,flu_b,503.984085083008
2012,85+,no2,688.022430419922
2012,85+,o3,37.88623046875
2012,85+,pm10,176.301742553711
2012,all,flu_a,1360.68328857422
2012,all,flu_b,831.749450683594
2012,all,no2,275.527465820312
2012,all,o3,191.677001953125
2012,all,pm10,506.290161132812
2013,0-20,flu_a,20.2296843528748
2013,0-20,flu_b,3.19525265693665
2013,0-20,no2,39.6111946105957
2013,0-20,o3,3.92109680175781
2013,0-20,pm10,21.3365278244019
2013,20-40,flu_a,38.8322477340698
2013,20-40,flu_b,23.9331073760986
2013,20-40,no2,67.2379112243652
2013,20-40,o3,11.9065275192261
2013,20-40,pm10,73.6415667533875
2013,40-65,flu_a,156.314476013184
2013,40-65,flu_b,87.193359375
2013,40-65,no2,403.124046325684
2013,40-65,o3,22.9615631103516
2013,40-65,pm10,166.835968017578
2013,65-85,flu_a,257.344635009766
2013,65-85,flu_b,513.356262207031
2013,65-85,no2,2463.57513427734
2013,65-85,o3,37.2833251953125
2013,65-85,pm10,888.876068115234
2013,85+,flu_a,511.107116699219
2013,85+,flu_b,305.58561706543
2013,85+,no2,746.278167724609
2013,85+,o3,41.5600280761719
2013,85+,pm10,267.819885253906
2013,all,flu_a,999.355895996094
2013,all,flu_b,237.091674804688
2013,all,no2,325.770263671875
2013,all,o3,241.092224121094
2013,all,pm10,590.119262695312
2014,0-20,flu_a,17.0358345508575
2014,0-20,flu_b,9.52538204193115
2014,0-20,no2,28.1540415287018
2014,0-20,o3,3.20456099510193
2014,0-20,pm10,16.775782585144
2014,20-40,flu_a,31.5988311767578
2014,20-40,flu_b,37.6070141792297
2014,20-40,no2,40.2279434204102
2014,20-40,o3,8.99598073959351
2014,20-40,pm10,61.0369253158569
2014,40-65,flu_a,138.986701965332
2014,40-65,flu_b,147.467132568359
2014,40-65,no2,341.936782836914
2014,40-65,o3,33.7518463134766
2014,40-65,pm10,144.204025268555
2014,65-85,flu_a,446.690216064453
2014,65-85,flu_b,1153.82699584961
2014,65-85,no2,2161.45758056641
2014,65-85,o3,57.0350036621094
2014,65-85,pm10,864.760437011719
2014,85+,flu_a,557.574310302734
2014,85+,flu_b,710.202743530273
2014,85+,no2,670.131011962891
2014,85+,o3,62.2251739501953
2014,85+,pm10,183.531188964844
2014,all,flu_a,1487.16784667969
2014,all,flu_b,870.029296875
2014,all,no2,234.119384765625
2014,all,o3,332.045532226562
2014,all,pm10,661.522216796875
2015,0-20,flu_a,17.3078052997589
2015,0-20,flu_b,4.83967328071594
2015,0-20,no2,23.9472773075104
2015,0-20,o3,1.95578980445862
